Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.158",,,"PATRIC.562.163959.562.163959.con.0001.CDS.163893.165224.fwd","PATRIC","CDS",163893,165224,1332,"+",,"PLF_561_00001132","PGF_00016266",,443,,"L-threonine transporter, anaerobically inducible",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1608",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1639883.1640074.rev","PATRIC","CDS",1639883,1640074,192,"-",,"PLF_561_00003102","PGF_00065475",,63,,"Hemin uptake protein HemP/HmuP",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1609",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1640206.1641252.rev","PATRIC","CDS",1640206,1641252,1047,"-",,"PLF_561_00001242","PGF_00070354",,348,,"2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)","GO:0003849|3-deoxy-7-phosphoheptulonate synthase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1610",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1641409.1642242.rev","PATRIC","CDS",1641409,1642242,834,"-",,"PLF_561_00001545","PGF_00033411",,277,,"Phosphoenolpyruvate synthase regulatory protein",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1611",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1642575.1644953.fwd","PATRIC","CDS",1642575,1644953,2379,"+",,"PLF_561_00000795","PGF_05438553",,792,,"Phosphoenolpyruvate synthase (EC 2.7.9.2)","GO:0008986|pyruvate, water dikinase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1612",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1645010.1646656.rev","PATRIC","CDS",1645010,1646656,1647,"-",,"PLF_561_00000565","PGF_00051876",,548,,"Short-chain-fatty-acid--CoA ligase",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1613",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1646713.1647006.rev","PATRIC","CDS",1646713,1647006,294,"-",,"PLF_561_00003269","PGF_00004407",,97,,"Ferredoxin-like protein YdiT",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1614",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1647003.1648292.rev","PATRIC","CDS",1647003,1648292,1290,"-",,"PLF_561_00003118","PGF_02969447",,429,,"Electron transfer flavoprotein-quinone oxidoreductase YdiS",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1615",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1648348.1649286.rev","PATRIC","CDS",1648348,1649286,939,"-",,"PLF_561_00003194","PGF_02977647",,312,,"Electron transfer flavoprotein, alpha subunit YdiR",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1616",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1649306.1650070.rev","PATRIC","CDS",1649306,1650070,765,"-",,"PLF_561_00003155","PGF_00424120",,254,,"Electron transfer flavoprotein, beta subunit YdiQ",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1617",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1650107.1650283.fwd","PATRIC","CDS",1650107,1650283,177,"+",,"PLF_561_00003514","PGF_00075191",,58,,"hypothetical protein",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1618",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1650386.1651297.fwd","PATRIC","CDS",1650386,1651297,912,"+",,"PLF_561_00000492","PGF_00065859",,303,,"Uncharacterized transcriptional regulator YdiP, AraC family",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1619",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1651340.1652491.rev","PATRIC","CDS",1651340,1652491,1152,"-",,"PLF_561_00000624","PGF_00032110",,383,,"Acyl-CoA dehydrogenase YdiO",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.159",,,"PATRIC.562.163959.562.163959.con.0001.CDS.165250.166458.fwd","PATRIC","CDS",165250,166458,1209,"+",,"PLF_561_00002056","PGF_00024574",,402,,"Acetate kinase (EC 2.7.2.1) @ Propionate kinase (EC 2.7.2.15)","GO:0008776|acetate kinase activity;GO:0008980|propionate kinase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1620",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1652505.1654100.rev","PATRIC","CDS",1652505,1654100,1596,"-",,"PLF_561_00000215","PGF_00026247",,531,,"Acyl-CoA:acetate CoA-transferase, alpha subunit (EC 2.8.3.8) / Acyl-CoA:acetate CoA-transferase, beta subunit (EC 2.8.3.8) @ Acyl-CoA:acetate CoA transferase (EC 2.8.3.8)","GO:0008775|acetate CoA-transferase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1621",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1654243.1655001.rev","PATRIC","CDS",1654243,1655001,759,"-",,"PLF_561_00002804","PGF_05922432",,252,,"3-dehydroquinate dehydratase I (EC 4.2.1.10)","GO:0003855|3-dehydroquinate dehydratase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1622",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1655032.1655898.rev","PATRIC","CDS",1655032,1655898,867,"-",,"PLF_561_00001468","PGF_00051550",,288,,"Shikimate/quinate 5-dehydrogenase I beta (EC 1.1.1.282)","GO:0004764|shikimate 3-dehydrogenase (NADP+) activity;GO:0004764|quinate 3-dehydrogenase (NAD+) activity;GO:0004764|quinate 3-dehydrogenase (NADP+) activity;GO:0004764|shikimate 3-dehydrogenase (NAD+) activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1623",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1655910.1657175.rev","PATRIC","CDS",1655910,1657175,1266,"-",,"PLF_561_00000405","PGF_00014287",,421,,"Inner membrane transport protein YdiN",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1624",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1657402.1658616.rev","PATRIC","CDS",1657402,1658616,1215,"-",,"PLF_561_00000592","PGF_00014286",,404,,"Inner membrane transport protein YdiM",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1625",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1658716.1659072.rev","PATRIC","CDS",1658716,1659072,357,"-",,"PLF_561_00000555","PGF_00065478",,118,,"Uncharacterized protein YdiL",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1626",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1659501.1660613.rev","PATRIC","CDS",1659501,1660613,1113,"-",,"PLF_561_00000668","PGF_04048555",,370,,"UPF0118 inner membrane protein YdiK",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1627",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1661002.1664058.fwd","PATRIC","CDS",1661002,1664058,3057,"+",,"PLF_561_00000566","PGF_00065477",,1018,,"Uncharacterized protein YdiJ",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1628",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1664055.1664465.fwd","PATRIC","CDS",1664055,1664465,411,"+",,"PLF_561_00002053","PGF_01730118",,136,,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase (EC 3.1.2.28) in menaquinone biosynthesis",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1629",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1664565.1664753.fwd","PATRIC","CDS",1664565,1664753,189,"+",,"PLF_561_00002243","PGF_00065476",,62,,"Uncharacterized protein YdiH",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.160",,,"PATRIC.562.163959.562.163959.con.0001.CDS.166492.168786.fwd","PATRIC","CDS",166492,168786,2295,"+",,"PLF_561_00001698","PGF_00400495",,764,,"2-ketobutyrate formate-lyase (EC 2.3.1.-) @ Pyruvate formate-lyase (EC 2.3.1.54)","GO:0004147|dihydrolipoamide branched chain acyltransferase activity;GO:0004147|sterol O-acyltransferase activity;GO:0004147|N-acetyltransferase activity;GO:0004147|O-acyltransferase activity;GO:0004147|palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity;GO:0004147|carnitine O-acyltransferase activity;GO:0004147|acetyltransferase activity;GO:0004147|C-acyltransferase activity;GO:0004147|palmitoyltransferase activity;GO:0004147|N-acyltransferase activity;GO:0004147|acylglycerol O-acyltransferase activity;GO:0004147|serine O-acyltransferase activity;GO:0004147|O-acetyltransferase activity;GO:0004147|O-octanoyltransferase activity;GO:0004147|octanoyltransferase activity;GO:0004147|O-palmitoyltransferase activity;GO:0004147|S-acyltransferase activity;GO:0004147|S-acetyltransferase activity;GO:0004147|S-malonyltransferase activity;GO:0004147|malonyltransferase activity;GO:0004147|C-palmitoyltransferase activity;GO:0004147|succinyltransferase activity;GO:0004147|N-succinyltransferase activity;GO:0004147|O-succinyltransferase activity;GO:0004147|S-succinyltransferase activity;GO:0004147|sinapoyltransferase activity;GO:0004147|O-sinapoyltransferase activity;GO:0004147|peptidyl-lysine N6-myristoyltransferase activity;GO:0004147|peptidyl-lysine N6-palmitoyltransferase activity;GO:0004147|benzoyl acetate-CoA thiolase activity;GO:0004147|3-hydroxybutyryl-CoA thiolase activity;GO:0004147|3-ketopimelyl-CoA thiolase activity;GO:0004147|N-palmitoyltransferase activity;GO:0004147|myristoyltransferase activity;GO:0004147|acyl-CoA N-acyltransferase activity;GO:0004147|protein-cysteine S-myristoyltransferase activity;GO:0004147|protein-cysteine S-acyltransferase activity;GO:0004147|dihydrolipoamide S-acyltransferase activity;GO:0004147|glucosaminyl-phosphotidylinositol O-acyltransferase activity;GO:0004147|ergosterol O-acyltransferase activity;GO:0004147|lanosterol O-acyltransferase activity;GO:0004147|naphthyl-2-oxomethyl-succinyl-CoA succinyl transferase activity;GO:0004147|2,4,4-trimethyl-3-oxopentanoyl-CoA 2-C-propanoyl transferase activity;GO:0004147|2-methylhexanoyl-CoA C-acetyltransferase activity;GO:0004147|butyryl-CoA 2-C-propionyltransferase activity;GO:0004147|2,6-dimethyl-5-methylene-3-oxo-heptanoyl-CoA C-acetyltransferase activity;GO:0004147|L-2-aminoadipate N-acetyltransferase activity;GO:0004147|UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase activity;GO:0004147|keto acid formate lyase activity;GO:0004147|Ras palmitoyltransferase activity;GO:0004147|azetidine-2-carboxylic acid acetyltransferase activity;GO:0004147|peptidyl-lysine N-acetyltransferase activity, acting on acetyl phosphate as donor;GO:0004147|acetyl-CoA:L-lysine N6-acetyltransferase;GO:0008861|formate C-acetyltransferase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1630",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1665301.1665669.fwd","PATRIC","CDS",1665301,1665669,369,"+",,"PLF_561_00003138","PGF_00015264",,122,,"Iron-sulfur cluster assembly iron binding protein SufA",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1631",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1665678.1667165.fwd","PATRIC","CDS",1665678,1667165,1488,"+",,"PLF_561_00000922","PGF_00015514",,495,,"Iron-sulfur cluster assembly protein SufB",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1632",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1667175.1667921.fwd","PATRIC","CDS",1667175,1667921,747,"+",,"PLF_561_00002310","PGF_00015510",,248,,"Iron-sulfur cluster assembly ATPase protein SufC",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1633",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1667896.1669167.fwd","PATRIC","CDS",1667896,1669167,1272,"+",,"PLF_561_00001433","PGF_00015517",,423,,"Iron-sulfur cluster assembly protein SufD",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1634",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1669164.1670384.fwd","PATRIC","CDS",1669164,1670384,1221,"+",,"PLF_561_00000678","PGF_07583562",,406,,"Cysteine desulfurase (EC 2.8.1.7) => SufS","GO:0031071|cysteine desulfurase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1635",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1670397.1670813.fwd","PATRIC","CDS",1670397,1670813,417,"+",,"PLF_561_00001911","PGF_00055099",,138,,"Sulfur acceptor protein => iron-sulfur cluster assembly SufE",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1636",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1670962.1671966.fwd","PATRIC","CDS",1670962,1671966,1005,"+",,"PLF_561_00001528","PGF_00015962",,334,,"L,D-transpeptidase => YnhG",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1637",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1672030.1672266.rev","PATRIC","CDS",1672030,1672266,237,"-",,"PLF_561_00003169","PGF_01386354",,78,,"Major outer membrane lipoprotein Lpp",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1638",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1672577.1673989.rev","PATRIC","CDS",1672577,1673989,1413,"-",,"PLF_561_00001211","PGF_07760799",,470,,"Pyruvate kinase (EC 2.7.1.40)","GO:0004743|pyruvate kinase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1639",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1674546.1674755.fwd","PATRIC","CDS",1674546,1674755,210,"+",,"PLF_561_00000803","PGF_00065474",,69,,"Fumarate hydratase FumD (EC 4.2.1.2)","GO:0004333|fumarate hydratase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1640",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1675060.1675182.rev","PATRIC","CDS",1675060,1675182,123,"-",,,,,40,,"FIG00640406: hypothetical protein",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1641",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1675210.1675836.fwd","PATRIC","CDS",1675210,1675836,627,"+",,"PLF_561_00002609","PGF_00064683",,208,,"Uncharacterized ferredoxin-like protein YdhY",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1642",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1675857.1677959.fwd","PATRIC","CDS",1675857,1677959,2103,"+",,"PLF_561_00003479","PGF_00064836",,700,,"Uncharacterized molybdopterin-containing oxidoreductase YdhV",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1643",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1677972.1678610.fwd","PATRIC","CDS",1677972,1678610,639,"+",,"PLF_561_00002740","PGF_00065473",,212,,"Uncharacterized protein YdhW",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1644",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1678674.1679342.fwd","PATRIC","CDS",1678674,1679342,669,"+",,"PLF_561_00002894","PGF_00064680",,222,,"Uncharacterized ferredoxin-like protein YdhX",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1645",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1679339.1680124.fwd","PATRIC","CDS",1679339,1680124,786,"+",,"PLF_561_00003000","PGF_00056815",,261,,"Thiosulfate reductase subunit like",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1646",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1680128.1680940.fwd","PATRIC","CDS",1680128,1680940,813,"+",,"PLF_561_00002674","PGF_00065471",,270,,"Uncharacterized protein YdhT",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1647",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1680952.1682556.rev","PATRIC","CDS",1680952,1682556,1605,"-",,"PLF_561_00000446","PGF_00065470",,534,,"Uncharacterized protein YdhS",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1648",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1682682.1682987.rev","PATRIC","CDS",1682682,1682987,306,"-",,"PLF_561_00001087","PGF_00042347",,101,,"Putative monooxygenase YdhR",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1649",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1683560.1684816.fwd","PATRIC","CDS",1683560,1684816,1257,"+",,"PLF_561_00001679","PGF_00065469",,418,,"Uncharacterized protein YdhQ",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1650",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1684857.1686230.rev","PATRIC","CDS",1684857,1686230,1374,"-",,"PLF_561_00000823","PGF_00401551",,457,,"Multidrug efflux transporter MdtK/NorM (MATE family)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1651",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1686445.1687086.fwd","PATRIC","CDS",1686445,1687086,642,"+",,"PLF_561_00001377","PGF_03751076",,213,,"Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)","GO:0004746|riboflavin synthase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1652",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1687126.1688274.rev","PATRIC","CDS",1687126,1688274,1149,"-",,"PLF_561_00000474","PGF_00821117",,382,,"Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79)","GO:0008825|cyclopropane-fatty-acyl-phospholipid synthase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.161",,,"PATRIC.562.163959.562.163959.con.0001.CDS.168800.169189.fwd","PATRIC","CDS",168800,169189,390,"+",,"PLF_561_00002845","PGF_02961167",,129,,"2-iminobutanoate/2-iminopropanoate deaminase RidA/TdcF (EC 3.5.99.10)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1653",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1688565.1689776.rev","PATRIC","CDS",1688565,1689776,1212,"-",,"PLF_561_00000212","PGF_00040677",,403,,"Inner membrane transport protein YdhC",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1654",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1689889.1690821.fwd","PATRIC","CDS",1689889,1690821,933,"+",,"PLF_561_00000469","PGF_00134852",,310,,"LysR-family transcriptional regulator YdhB",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1655",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1690818.1691843.rev","PATRIC","CDS",1690818,1691843,1026,"-",,"PLF_561_00001550","PGF_00038991",,341,,"Purine nucleotide synthesis repressor",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1656",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1692112.1692231.fwd","PATRIC","CDS",1692112,1692231,120,"+",,"PLF_561_00003263","PGF_06434757",,39,,"hypothetical protein",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1657",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1692397.1693566.fwd","PATRIC","CDS",1692397,1693566,1170,"+",,"PLF_561_00000832","PGF_00040676",,389,,"Inner membrane transport protein YdhP",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.162",,,"PATRIC.562.163959.562.163959.con.0001.CDS.169261.170625.fwd","PATRIC","CDS",169261,170625,1365,"+",,"PLF_561_00000476","PGF_00016225",,454,,"L-serine dehydratase, beta subunit (EC 4.3.1.17) / L-serine dehydratase, alpha subunit (EC 4.3.1.17)","GO:0003941|L-serine ammonia-lyase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1658",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1693728.1694309.rev","PATRIC","CDS",1693728,1694309,582,"-",,"PLF_561_00002351","PGF_00055273",,193,,"Superoxide dismutase [Fe] (EC 1.15.1.1)","GO:0004784|superoxide dismutase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1659",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1694437.1695252.rev","PATRIC","CDS",1694437,1695252,816,"-",,"PLF_561_00001014","PGF_00023401",,271,,"Murein DD-endopeptidase MepH",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1660",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1695352.1695504.fwd","PATRIC","CDS",1695352,1695504,153,"+",,"PLF_561_00004847","PGF_00119083",,50,,"hypothetical protein",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1661",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1695586.1695933.fwd","PATRIC","CDS",1695586,1695933,348,"+",,"PLF_561_00086631","PGF_08057496",,115,,"Monothiol glutaredoxin GrxD",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1662",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1695984.1700600.rev","PATRIC","CDS",1695984,1700600,4617,"-",,"PLF_561_00003676","PGF_00036729",,1538,,"Probable ATP-dependent helicase lhr (EC 3.6.1.-)","GO:0004787|thiamine-pyrophosphatase activity;GO:0004787|8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity;GO:0004787|UDP-2,3-diacylglucosamine hydrolase activity;GO:0004787|bis(5'-nucleosyl)-tetraphosphatase activity;GO:0004787|dATP pyrophosphohydrolase activity;GO:0004787|pyrophosphatase activity;GO:0004787|dihydroneopterin monophosphate phosphatase activity;GO:0004787|dihydroneopterin triphosphate pyrophosphohydrolase activity;GO:0004787|dITP diphosphatase activity;GO:0004787|dTTP diphosphatase activity;GO:0004787|XTP diphosphatase activity;GO:0004787|ATP-dependent 5'-3' DNA helicase activity;GO:0004787|phosphocholine hydrolase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1663",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1700693.1701340.rev","PATRIC","CDS",1700693,1701340,648,"-",,"PLF_561_00002221","PGF_00048589",,215,,"Ribonuclease T",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1664",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1701443.1701850.rev","PATRIC","CDS",1701443,1701850,408,"-",,"PLF_561_00105197","PGF_00016546",,135,,"Lactoylglutathione lyase (EC 4.4.1.5)","GO:0004462|lactoylglutathione lyase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1665",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1701931.1703028.rev","PATRIC","CDS",1701931,1703028,1098,"-",,"PLF_561_00000550","PGF_04586716",,365,,"N-ethylmaleimide reductase",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1666",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1703065.1703664.rev","PATRIC","CDS",1703065,1703664,600,"-",,"PLF_561_00003044","PGF_00060256",,199,,"Transcriptional repressor NemR, AcrR family",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1667",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1703767.1704006.fwd","PATRIC","CDS",1703767,1704006,240,"+",,"PLF_561_00010450","PGF_02720073",,79,,"Uncharacterized protein YdhL",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1668",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1704055.1704951.fwd","PATRIC","CDS",1704055,1704951,897,"+",,"PLF_561_00001141","PGF_00028690",,298,,"Oxidoreductase YdhF",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1669",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1705032.1705553.fwd","PATRIC","CDS",1705032,1705553,522,"+",,"PLF_561_00003095","PGF_07854425",,173,,"Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1)","GO:0004784|superoxide dismutase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1670",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1705554.1707566.rev","PATRIC","CDS",1705554,1707566,2013,"-",,"PLF_561_00000307","PGF_03769603",,670,,"Tetrapartite efflux system, inner membrane component FusBC-like",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1671",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1707566.1708423.rev","PATRIC","CDS",1707566,1708423,858,"-",,"PLF_561_00001231","PGF_06389977",,285,,"Tetrapartite efflux system, membrane fusion component FusE-like",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1672",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1708426.1708662.rev","PATRIC","CDS",1708426,1708662,237,"-",,"PLF_561_00003274","PGF_00065467",,78,,"Tetrapartite efflux system component, FusD-like",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1673",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1708719.1708838.fwd","PATRIC","CDS",1708719,1708838,120,"+",,,,,39,,"hypothetical protein",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1674",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1708863.1709297.fwd","PATRIC","CDS",1708863,1709297,435,"+",,"PLF_561_00002442","PGF_00058670",,144,,"Transcriptional regulator SlyA",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.163",,,"PATRIC.562.163959.562.163959.con.0001.CDS.170900.172231.fwd","PATRIC","CDS",170900,172231,1332,"+",,"PLF_561_00000257","PGF_12810411",,443,,"Inner membrane transport protein YhaO",
